"","id","long","lat","text"
"7201","972260379207155713","-119.7725868","36.7468422","Can you recommend anyone for this #job? Vaccine Sales Representative - Fresno, CA - YYA36692 -… https://t.co/yNfOjvhGho"
"8591","972251326137552896","-86.80249","33.5206608","Can you recommend anyone for this #job? Medical Representative Vaccine-Birmingham East - https://t.co/qfKIbJJwXg… https://t.co/wlWS1mRcSG"
"2100","972317201276391424","-122.2913078","37.8271784","@kenjaques The scientific consensus reflects abundant data, and does matter to those who value science and evidence… https://t.co/BeA0clMkXP"
"4100","972317128941555712","-102.4107493","34.2331373","RT @HealthRanger: #Vaccines contain ingredients that cause allergic reactions, diseases, disorders and even death. https://t.co/yW2hpkVYq5…"
"5100","972317107978416128","-97.3307658","32.7554883","RT @MeAndMyOBG: This Vaccine Can Prevent Cancer, But Many Teenagers Still Don't Get It https://t.co/FpBJS2L93H #HPV https://t.co/pmV3nfvx3r"
"894","972316881460789249","-81.5190053","41.0814447","According to @CDCgov, human papillomavirus (HPV) causes about 31,500 cases of cancer in men and women every year. L… https://t.co/Cx9thqB0rb"
"1910","972315520849629184","-102.4107493","34.2331373","Government Uses Census Data and Google Maps Places to 'Geo-Locate"" Ant-Vaccine Tweeters - Ghost Ship Media https://t.co/etoUVxyCkD"
"2110","972315466206150657","-95.712891","37.09024","RT @HealthRanger: #Vaccines contain ingredients that cause allergic reactions, diseases, disorders and even death. https://t.co/yW2hpkVYq5…"
"2310","972315246026047488","-118.2436849","34.0522342","@ThomasKlineMD Wow, that's such utter &amp;complete horseshit I don't even know how to respond. When I never took any s… https://t.co/2VHZ0qAVRn"
"2410","972315110344658944","-93.0899578","44.9537029","Influenza B is trying to escape our vaccine. https://t.co/J0kdAfjeWe https://t.co/7nGmDXQ0Bb"
"3210","972314411460415488","-83.9207392","35.9606384","@onewendy @Terry24681865 @LotusOak Oddly Wendy, there are people walking amongst us who actually believe that polio… https://t.co/kYqwzaGGGX"
"3610","972314053317185536","-122.788377","45.4604","RT @LotusOak: #STUDY: #Flu #Vaccine Associated w/ Spontaneous Abortion in #Pregnant Women

https://t.co/94Qe2nKIbR
#VaccineInjury https://t…"
"3710","972313992759713792","-122.2913078","37.8271784","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"3810","972313886744510464","-95.712891","37.09024","RT @statnews: The White House science office said the goal of a universal flu vaccine is “closer than ever.” Experts say, not really. https…"
"4010","972313812014649345","-95.712891","37.09024","RT @Design_Week: A game that trains you to act like a fake news tycoon might sound like something from a dystopian novel or an episode of B…"
"4410","972313547785908225","-117.9988026","33.6594835","@katiewr31413491 Pediatricians when suggesting the following typically outside their comfort zones: encephalitis, G… https://t.co/eSK0Ysv0GQ"
"4510","972313527422734337","-86.902298","32.3182314","RT @Gizmodo: The universal flu vaccine is still a pipe dream for now, FDA chief says https://t.co/oVuYB4yG5L https://t.co/zMmZp2KxxJ"
"4910","972313081106792449","-87.6297982","41.8781136","RT @Gizmodo: The universal flu vaccine is still a pipe dream for now, FDA chief says https://t.co/oVuYB4yG5L https://t.co/zMmZp2KxxJ"
"5210","972312899145424897","-82.9987942","39.9611755","RT @dbongino: People who still believe in the Trump/Russia hoax:
-CNN
-MSNBC
-Viewers of CNN &amp; MSNBC
-Far-Left social justice warriors
-Peo…"
"5510","972312740776808448","-86.2999689","32.3668052","RT @Gizmodo: The universal flu vaccine is still a pipe dream for now, FDA chief says https://t.co/oVuYB4yG5L https://t.co/zMmZp2KxxJ"
"6110","972312243110064128","-122.788377","45.4604","RT @LotusOak: Robert De Niro Announces His Own #Vaccine Documentary 
https://t.co/GEqLqPRSEg https://t.co/wiG2uGftzq"
"6210","972312151917391872","-106.4850217","31.7618778","@persidaacosta @ATajum I just wish there's  antidote for dengvaxia vaccine. ������"
"6410","972312041150181376","-83.9207392","35.9606384","@empwrdwholelife @LotusOak And I’m not going to look at your reccomednded reading from the CDC. Responsible parents… https://t.co/jnzcBhFCoT"
"6610","972311868508385280","-118.7797571","34.0259216","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"6710","972311749713162240","-81.0348144","34.0007104","RT @dbongino: People who still believe in the Trump/Russia hoax:
-CNN
-MSNBC
-Viewers of CNN &amp; MSNBC
-Far-Left social justice warriors
-Peo…"
"7610","972310381443141632","-95.712891","37.09024","Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it m… https://t.co/Q5GY0Zdiqs"
"7810","972310241584001026","-90.064848","32.3188539","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"8010","972310217177292800","-95.712891","37.09024","@highitskristin I don't call anyone stupid unless they attack first. Unfortunately I also find provaxxers to be the… https://t.co/0RUlvoKVHr"
"8110","972309970845945856","-95.712891","37.09024","@marshall5912 @Digga2734 @antonia_okafor @franifio @ajplus It’s based on religious rights. What religions are anti-vaccine?"
"8310","972309906966700037","-77.0368707","38.9071923","@CrazylaceAnne if you don't mind me asking - which vaccine was it?"
"8410","972309885156282368","-94.1265562","30.080174","@washingtonpost ""Thou shall not murder"" seems to be more in tune with the situation more than the arbitrary interpr… https://t.co/AYgApEIZre"
"8510","972309872866971649","-74.0059728","40.7127753","RT @LotusOak: 60 Lab Studies Confirm #Cancer Link to a #Polio Vaccine

https://t.co/mM8WQQRXBf
#LearnTheRisk https://t.co/glEVDObw7Z"
"8710","972309824984797184","-88.914102","40.482914","Not real news roundup: Vaccine not linked to autism, Cadbury still making chocolate https://t.co/tXpRrpfoit"
"911","972309216542187522","-80.1008762","26.5909025","@mayopositibo Pcv13 muna inuna ko nung nag vaccine ako nyan. https://t.co/GPcMqwdG5f"
"931","972309098099281921","-77.0947092","38.984652","RT @DKWpublichealth: Measles outbreak: How a decades old, fraudulent anti-vaccine study still affects public health https://t.co/80srl0Sm9r…"
"951","972308935591030784","-79.9958864","40.4406248","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"981","972308686835146753","-122.2913078","37.8271784","@kenjaques And we will not end the (social, not scientific) debate while there are those who believe anti vaccine m… https://t.co/JO9mNXocmS"
"991","972308491640582144","-118.9143984","35.2232773","My baby boy's still not feeling good because of yesterday's vaccine :( i'm so in pain seeing him like this. Paano p… https://t.co/7gP6Od6hUt"
"1021","972308387412131840","-95.712891","37.09024","RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it…"
"1061","972308195489341440","-75.4898448","39.6832814","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1091","972307813455327233","-73.4742914","40.6806563","Please get the flu vaccine and if you contract the flu please accept Tamiflu for yourself (5 days) AND your... https://t.co/k8RkVcNR9Z"
"1101","972307806677295104","-87.6297982","41.8781136","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1111","972307774267908096","-81.5370671","41.4739419","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1131","972307746421866496","-95.712891","37.09024","@marshall5912 @Digga2734 @antonia_okafor @franifio @ajplus Do you know of any religion that is truly anti-vaccine?"
"1151","972307452933935104","-82.907123","40.4172871","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1221","972307150281297920","-95.712891","37.09024","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1251","972307034891841537","-74.5623478","40.5627372","Government Document Confirms Vaccine Link to Microcephaly -  https://t.co/i6tScFnKQ7"
"1271","972306950326276096","-123.1007066","47.2150945","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1281","972306908349698048","-71.0588801","42.3600825","RT @omarrific: Really excited about this new peptide vaccine platform and the neoantigen validation in this paper. Don’t think there is ano…"
"1331","972306515888664576","-122.788377","45.4604","RT @LotusOak: 60 Lab Studies Confirm #Cancer Link to a #Polio Vaccine

https://t.co/mM8WQQRXBf
#LearnTheRisk https://t.co/glEVDObw7Z"
"1351","972306479125495809","-82.907123","40.4172871","RT @NBCNews: Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it makes it sub…"
"1391","972306206462226434","-95.971261","36.153315","RT @kemba722: VIDEO of a C.D.C. scientist that was murdered because he told the world that the Flu shots are causing people to die from the…"
"1401","972306195452170240","-95.712891","37.09024","@marshall5912 @Digga2734 @antonia_okafor @franifio @ajplus I’m saying that if a business owner’s religion is anti-v… https://t.co/wL1gSJQLcC"
"1421","972306121494007814","-74.0059728","40.7127753","Tara Haelle: ""Getting the flu vaccine doesn’t guarantee someone won’t be hospitalized or die from the flu, but it m… https://t.co/xFfEnEaaik"
"1441","972306089885749248","-96.4981467","41.4333909","Not real news roundup: Vaccine not linked to autism, Cadbury still making chocolate https://t.co/Mfm2tDcE6D"
"1461","972306060596994048","-73.6440058","43.3095164","Not real news roundup: Vaccine not linked to autism, Cadbury still making chocolate https://t.co/HxLflzCy9t"
"1561","972305590549663744","-95.712891","37.09024","Measles outbreak: How a decades old, fraudulent anti-vaccine study still affects public health https://t.co/Np7E0K8sdq"
"1571","972305564708589570","-84.1227598","43.5250265","RT @LotusOak: Did U Know There Are 50+ Granted US #Vaccine Patents w/ #CDC Listed as an Assignee?

https://t.co/7nYXwwbuJa
#COI https://t.c…"
"1581","972305532844433409","-86.5804473","35.5174913","RT @LotusOak: Did U Know There Are 50+ Granted US #Vaccine Patents w/ #CDC Listed as an Assignee?

https://t.co/7nYXwwbuJa
#COI https://t.c…"
"1651","972304396284391424","-95.712891","37.09024","@KrissyRedacted @RoorWade This information of vaccine injury is everywhere if you care to look beyond any pharma ba… https://t.co/sVYHyEKhVS"
"1661","972304390467047424","-91.8318334","37.9642529","RT @LotusOak: Did U Know There Are 50+ Granted US #Vaccine Patents w/ #CDC Listed as an Assignee?

https://t.co/7nYXwwbuJa
#COI https://t.c…"
"1701","972304082856742913","-95.712891","37.09024","RT @HealthRanger: #Vaccines contain ingredients that cause allergic reactions, diseases, disorders and even death. https://t.co/yW2hpkVYq5…"
"1731","972303801745985536","-95.712891","37.09024","@KrissyRedacted @RoorWade The vaccinations are CAUSING the outbreaks. It's called vaccine shedding. Look it up."
"1751","972303596833341440","-95.712891","37.09024","RT @TexasTrumpGirl: @LB1524 @thebradfordfile I went to India and had every vaccine imaginable.   I still don't think I'm covered for Califo…"
"1761","972303387776741376","-110.926479","32.2217429","A national school-based vaccination programme has seen the number of young women with human papillomavirus (HPV)... https://t.co/Qkmcd5GdUw"
"1781","972303359901347840","-74.0059728","40.7127753","Trump reminds me of the anti-vaccine crowd who dismiss the advice of experts because, well, they just know better.… https://t.co/submzuiwBq"
"1791","972303322811166722","-117.1589616","32.7081928","RT @marshawright: Endangered ferrets are being saved by drones that drop vaccine-laced M&amp;Ms https://t.co/AYUpGx9Mc2 #tech #money https://t.…"
"1821","972303088299069440","-95.712891","37.09024","RT @Newsweek: A woman is suing her former job after they forced her to get a flu shot against her religious beliefs https://t.co/6KGydpoLdg…"
"1831","972302897164832768","-90.5116678","41.5075765","RT @EveTweets: Teen Girl Develops Leukemia After Gardasil Vaccine – Life Back to Near Normal After Mother Gives Her Cannabis Oil 
#HPV #Gar…"
"1861","972302610681221121","-76.6121893","39.2903848","RT @HenryEChang: RT if you agree: Funding for #HCV research must be sustained considering the critical challenges &amp; emerging opportunities…"
"1871","972302598920392704","-122.788377","45.4604","RT @LotusOak: Did U Know There Are 50+ Granted US #Vaccine Patents w/ #CDC Listed as an Assignee?

https://t.co/7nYXwwbuJa
#COI https://t.c…"
"1901","972302396465598464","-118.2436849","34.0522342","@Monitor_Sur @wsj #LookingForNews &gt;&gt;&gt; WSJ $GOVX GeoVax and CaroGen to Collaborate https://t.co/XLdw2eOlfd  #wsj… https://t.co/gUlv3jJpXf"
"1941","972302293063426048","-74.0059728","40.7127753","A woman is suing her former job after they forced her to get a flu shot against her religious beliefs… https://t.co/BxqFGCdOsG"
"1991","972302285987614720","-106.6055534","35.0853336","$GOVX GeoVax and CaroGen to Collaborate https://t.co/0qYJOKVlSa #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/P61wUD3XJN"
"2011","972302279230582784","-106.6055534","35.0853336","$GOVX GeoVax and CaroGen to Collaborate https://t.co/cBLGp9kU5M #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/G99454fHRD"
"2031","972302270774808576","-117.1610966","32.7157305","Get flu vaccine, cover your cough, wash your hands &amp; stay home when sick. Help keep your workplace healthy.… https://t.co/lwfoyQaYzc"
"2061","972302138071289856","-90.0489801","35.1495343","“This is all because you got the gardasil vaccine. My mama said it does this to lanky people. That’s why I stay thick.”"
"2071","972302038037082113","-95.712891","37.09024","$GOVX GeoVax and CaroGen to Collaborate https://t.co/V26zYJV0EC #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/9lFtg9qQ5h"
"2111","972302028616724481","-95.712891","37.09024","$GOVX GeoVax and CaroGen to Collaborate https://t.co/SKpFUtRgqh #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/zCKu74vWwA"
"2121","972302028516020226","-95.712891","37.09024","$GOVX GeoVax and CaroGen to Collaborate https://t.co/HZNqDz3GtQ #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/yzZ7Rby0G3"
"2131","972302027232612354","-95.712891","37.09024","$GOVX GeoVax and CaroGen to Collaborate https://t.co/hLEVGQdAsK #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/4VmMd0GSxz"
"2141","972301967442829313","-91.1403196","30.4582829","EXCLUSIVE: DTaP Vaccine Shatters UFC Fighter’s Family After It Kills Their Healthy Boy https://t.co/R5koURuSxW"
"2151","972301848806703104","-121.8863286","37.3382082","@Mona @SCCgov (2/2) ...Notifying the public through an exposure notice is a typical public health activity when com… https://t.co/YnGfjt3b7k"
"2161","972301757727543297","-74.0059728","40.7127753","RT @strivesite: Vaccine-induced autoimmunity: the role of molecular mimicry and immune crossreaction https://t.co/b5fP46n1ZC"
"2171","972301712718430209","-77.4146876","42.7481821","RT @angelynabilaleo: YOU KNOW WHAT ! Now the world already have DENGUE VACCINE! #goodnews"
"2191","972301499320631296","-122.788377","45.4604","RT @LotusOak: @BeckyJohnson222 For the sake of our kids we have 2 make all our relatives 2 watch #VAXXED &amp; read all the worrisome #vaccine…"
"2211","972301027910344705","-76.6412712","39.0457549","RT @w_kagucia: Interested in vaccine economics? Free online courses by @JohnsHopkinsSPH and @IVACtweets faculty among others available here…"
"2241","972300737035292673","-76.6121893","39.2903848","RT @w_kagucia: Interested in vaccine economics? Free online courses by @JohnsHopkinsSPH and @IVACtweets faculty among others available here…"
"2291","972300235929133057","-117.6480148","47.866316","RT @WIRED: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it happen…"
"2321","972299637791997953","-119.4179324","36.778261","RT @ComfortablySmug: What if Jonas Salk never developed the polio vaccine?

Stelter: “A newsroom or media company could have invented it in…"
"2331","972299544221405184","-122.788377","45.4604","RT @LotusOak: New #STUDY: #DTP #Vaccine Associated w/ 5-FOLD Higher #Mortality Than Being Unvaccinated

https://t.co/Q3tabAeBwC https://t.c…"
"2351","972299513716191232","-122.788377","45.4604","RT @LotusOak: PARENTS, read ALL #Vaccine Inserts (VPI)! Know the difference between CDC Statement &amp; VPI!

https://t.co/BCmaVp1p68 https://t…"
"2391","972298918573805568","-80.0942087","26.9342246","Flu vaccine grown without eggs provided measurably better protection this season, FDA says

https://t.co/Psq8RxhEDD"
"2411","972298916329816064","-80.0942087","26.9342246","Flu vaccine grown without eggs provided measurably better protection this season, FDA says

https://t.co/YM0qKoPK94"
"2421","972298901586829312","-81.2936073","29.0557686","@PuddinHearts Ughhhhhh I’m so sorry! Sounds miserable. Hopefully Todd has had chicken pox or vaccine?"
"2481","972298257249525760","-95.712891","37.09024","VERIFY: Here's why the missing CDC scientist is not a flu vaccine whistle blower https://t.co/QzXA0AH0Yk via @11AliveNews"
"2491","972298114836070401","-75.8766333","41.1457603","RT @CleClinicMD: New shingles vaccine reduces chances for postherpetic neuralgia in older adults: https://t.co/oJ11EigGXi"
"2501","972297894551261185","-76.6121893","39.2903848","@gyip it's really interesting, I'm enjoying it! We did an assignment about vaccine refusal that used cartoons from… https://t.co/zEnUTdEHn3"
"2531","972297602795483136","-84.5120196","39.1031182","So confused after the #Xavier implosion. Is this when I explain how the school is trying to cure cancer or discover… https://t.co/lbt0UCLNUF"
"2581","972296994260594689","-71.1041786","42.3356352","YOU KNOW WHAT ! Now the world already have DENGUE VACCINE! #goodnews"
"2621","972296481913888768","-95.370026","35.7475692","RT @MrsCMitch: #MissingPerson #TimothyCunningham 
CDC scientist missing since Feb. 12th
His family and Crime Stoppers of Greater Atlanta i…"
"2641","972296070964408321","-76.6412712","39.0457549","RT @theNCI: Scientists repurpose #HPV vaccine technology to fight an eye cancer known as uveal melanoma: https://t.co/w6AY0VHuL7 @NCIResear…"
"2681","972295759189217281","-95.712891","37.09024","RT @rocketman_ai: Fighting cancer. Activating T cells in tumors eliminated even distant metastases in mice, Stanford researchers found.""I d…"
"2711","972295666381807616","-81.3792365","28.5383355","RT @DohOrange: January is Cervical Health Awareness Month. As of 2015, cervical cancer is the 15th leading cause of cancer deaths among wom…"
"2721","972295652465033216","-118.2436849","34.0522342","RT @MyRedmoon77: #Breaking #Vaccines
Circolazione del #poliovirus di tipo2 (#cVDPV2) DERIVATO DA #VACCINO è stata confermata in #Somalia
Ci…"
"2741","972295548601552896","-96.6397822","33.1972465","RT @KQEDscience: ICYMI: US Panel Says it’s Okay to Use Nasal Spray Flu Vaccine Again https://t.co/pumgKgxJR5 #FutureOfYou https://t.co/3KNn…"
"2761","972295448298913793","-77.4360481","37.5407246","Wish my new follower @davidtalby could teach AI algorithms behind @OfficePracticum to learn vaccine admin variation… https://t.co/1OV4OdpHTC"
"2801","972295067850498050","-83.0457538","42.331427","@Lalabu90265 ""Vaccine freedom"" sounds so much better than ""scientific ignorance bringing back fatal disease"""
"2821","972294545957408769","-81.3792365","28.5383355","RT @DohOrange: With the arrival of spring, BATS are becoming active and seek locations inside homes and buildings. DOH-Orange reminds you:…"
"2911","972293503844864001","-122.788377","45.4604","RT @LotusOak: Zara, 13, was left in wheelchair after reaction to #HPV #vaccine

https://t.co/OoBrzz0Noz

#VaccineInjury #Gardasil https://t…"
"2941","972292995541159937","-118.2436849","34.0522342","RT @focusedonhealth: Talking to your kids about these tough subjects can be hard. We're here to help: https://t.co/D7HC7F5fqo  #endcancer h…"
"2951","972292965208154114","-96.4003069","42.4999942","Not real news roundup: Vaccine not linked to autism, Cadbury still making chocolate https://t.co/gjVDDIlFkP"
"2961","972292862296580096","-118.7797571","34.0259216","All anti-vaxxers and those for freedom of choice - not to have mandated vaccines to work or go to school.. vaccines… https://t.co/sFz7k4LU1C"
"2971","972292664828686336","-118.2200712","33.8958492","RT @MVCAC1: 'There are a lot of unknowns': British scientists set to work on Zika vaccine https://t.co/CtD0duZVmE #Zika #FIGHTtheBITE #Mosq…"
"2981","972292630020173825","-74.694929","40.774716","Did you ever think to yourself that the vaccine scandal was so stupid that it would be impossible for it to have an… https://t.co/MDtLeZFMF4"
"2991","972292355947720704","-95.712891","37.09024","And they can also die from flu vaccine. https://t.co/MgWgB8m8US"
"3001","972292327610953728","-74.0059728","40.7127753","RT @ComfortablySmug: What if Jonas Salk never developed the polio vaccine?

Stelter: “A newsroom or media company could have invented it in…"
"3031","972292146605821952","-83.9888205","39.2931174","RT @restricted911: #QAnon #thestorm #MAGA #8chan #cbts #Wikileaks #USA
#WeThePeople #GreatAwakening
#Resist #TheResistance

It's about that…"
"3071","972291618320633856","-87.6297982","41.8781136","RT @WIRED: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it happen…"
"3091","972291546543468544","-84.4838654","42.7369792","RT @KKellyMSU: Virus-like particle could lead to new cancer vaccine | MSUToday | Michigan State University https://t.co/PyQ9wxHc4y"
"3101","972291464079269889","-95.712891","37.09024","RT @MyRedmoon77: #Breaking #Vaccines
Circolazione del #poliovirus di tipo2 (#cVDPV2) DERIVATO DA #VACCINO è stata confermata in #Somalia
Ci…"
"3131","972291195257933824","-95.712891","37.09024","RT @InJeffable: @and_kell I noticed that the author used the term ""vaccine deniers"" in what is supposedly a news article from a reputable n…"
"3151","972291195211788290","-95.712891","37.09024","RT @wangstar20161: @NBCNewsHealth #TimothyCunningham, a CDC employee, apparently knew the FLU VACCINE SPREAD THE FLU...now he’s missing. Th…"
"3161","972291195010502664","-95.712891","37.09024","RT @mercola: American war veterans who were injured by #vaccines appear to be routinely denied benefits for vaccine-related injuries. Learn…"
"3171","972291092912713728","-159.5261238","22.0964396","RT @thetonyclifton1: @003a04f8c2054b7 She’s a liberal loon.  We need a vaccine for that disease.  #Tucker"
"3191","972290963031732224","-81.3459405","41.2392227","RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it…"
"3201","972290948704210944","-113.9389673","45.8076982","Not real news roundup: Vaccine not linked to autism, Cadbury still making chocolate https://t.co/Fdfq5ziTvn"
"3211","972290891644854272","-122.788377","45.4604","RT @LotusOak: What the News Isn't Saying About #Vaccine-#Autism Studies

https://t.co/r16vjrHcnE https://t.co/vRDGLApDdF"
"3241","972290677471051776","-84.1916069","39.7589478","RT @wrair: Factors influencing differences in vaccine efficacy b/w individuals or populations still poorly characterized https://t.co/2nh7J…"
"3251","972290600363061248","-73.9441579","40.6781784","Be very careful about hand washing properly, Be mindful of what you touch, not only the Flu is a contagious illness… https://t.co/iUoTotjnzm"
"3261","972290408356171776","-95.712891","37.09024","@HealthyWrld And their vaccine failed to protect them?  NOT so safe OR effective, eh?"
"3301","972289889168392193","-77.1527578","39.0839973","RT @theNCI: Scientists repurpose #HPV vaccine technology to fight an eye cancer known as uveal melanoma: https://t.co/w6AY0VHuL7 @NCIResear…"
"3341","972289355627876354","-76.602191","39.6823264","RT @thetonyclifton1: @003a04f8c2054b7 She’s a liberal loon.  We need a vaccine for that disease.  #Tucker"
"3381","972289093752295429","-111.9260519","33.4941704","@003a04f8c2054b7 She’s a liberal loon.  We need a vaccine for that disease.  #Tucker"
"3391","972288649059618816","-74.0681931","40.0831714","https://t.co/QzJOCIe2AM"
"3441","972288333090099201","-95.712891","37.09024","Flu vaccine, measles vaccine, HPV vaccine, polio vaccine, Hep B vaccine... #MaxtheVax https://t.co/V27UQcObu0"
"3501","972287839831515136","-81.6943605","41.49932","RT @CleClinicMD: New shingles vaccine reduces chances for postherpetic neuralgia in older adults: https://t.co/oJ11EigGXi"
"3541","972287581277827074","-95.712891","37.09024","RT @dbongino: People who still believe in the Trump/Russia hoax:
-CNN
-MSNBC
-Viewers of CNN &amp; MSNBC
-Far-Left social justice warriors
-Peo…"
"3571","972287072785616896","-95.712891","37.09024","RT @LotusOak: #Petition to Donald Trump: Create Independent #Vaccine #Safety Commission

https://t.co/fZ7T8DyI57
#rfkcommission"
"3581","972287066389311488","-95.971261","36.153315","VIDEO of a C.D.C. scientist that was murdered because he told the world that the Flu shots are causing people to di… https://t.co/YireIY5jLJ"
"3591","972287035003174912","-122.4194155","37.7749295","RT @WIREDScience: In Brazil, misinformation about the dangers of a yellow fever vaccine is spreading with alarming speed, and nowhere is it…"
"3621","972286879688265728","-75.1652215","39.9525839","@vintagetomboyy oh yeah, at this point i though that was common knowledge. my mom literally knows a child who got a… https://t.co/59ZHdMX1z7"
"3711","972286452699664385","-85.7584557","38.2526647","Antigen study supports new approach to vaccine for respiratory syncytial virus https://t.co/g4SZYXr4iD"
"3721","972286418864263170","-122.788377","45.4604","RT @LotusOak: Two UK girls left paralyzed after #HPV jabs. Authorities still claim it's coincidence.

https://t.co/49XIFUDHAm https://t.co/…"
